Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Afghanistan,AFG,..,..,0.0311999345890245,0.0320284738990674,0.0248422283213092,0.0244176672526338,0.0213278974614844,0.0271932430418441,0.0287047995628904,0.0359853944738386,0.0733172103889419,0.0765361700831013,0.0743792074787976,0.0654167381940772,0.0651897107942923,0.0924685426083421,0.102715267697685,0.105421026776137
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Albania,ALB,0.379156394048189,0.164157527055697,0.160750953453477,0.157936840189222,0.175994719157152,0.175299576272112,0.174138376482157,0.155092942030933,0.145961419868981,0.141375159875757,0.115997394689322,0.13175778316663,0.125815293100953,0.115091859535194,0.109599506661053,0.111130332535953,0.0969610349963419,0.0929404747863416
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Algeria,DZA,0.242453374021571,0.246870878752175,0.246186100185892,0.233264493787655,0.231277536644416,0.233671908296652,0.223886148028839,0.222913615301255,0.225399366456987,0.22569065741568,0.254062742752204,0.258954533121655,0.268081837745125,0.276044969816527,0.274967235744744,0.276996933801156,0.277638928043556,0.257720587631956
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Angola,AGO,0.130681963661316,0.191140155373955,0.169844720904419,0.159834609714771,0.138213496444215,0.146125623015293,0.134445332227668,0.103325047503145,0.0966618967830274,0.0886051541359605,0.114269326354925,0.102207144214159,0.0973315383595687,0.102925958911813,0.0819295507808591,0.0987520139250208,0.103763275314611,0.106028136430333
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Antigua and Barbuda,ATG,0.123142454991855,0.11107447626082,0.0707343016169808,0.072407995818231,0.0810979841306577,0.0833976168247999,0.0801059438619787,0.078001610680956,0.0787830916506389,0.0788790063366364,0.131314208761118,0.112804458979249,0.112286499718115,0.125676529690831,0.12560823891179,0.128427177056296,0.11776703580455,0.119529056370073
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Argentina,ARG,0.179841306264809,0.167436210787093,0.164936165306459,0.165712197067092,0.175648188230279,0.175942859786917,0.178659169101303,0.168457400381496,0.164978670772537,0.161153892861494,0.159087944593166,0.152502917225681,0.155341410422439,0.153042200347736,0.157657073592127,0.159988196247474,0.154226620193749,0.148890709000679
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Armenia,ARM,0.953148157197926,0.222393765567722,0.241488529308382,0.2242681798626,0.169107843685739,0.166009215454106,0.162714092753114,0.169592775738328,0.149246208500023,0.152183175479726,0.136136131611019,0.134044325213688,0.133293799746241,0.133729529737412,0.155090023124568,0.159211726630268,0.137255202467131,0.134313183721914
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Aruba,ABW,0.0925827855384665,0.107619571066084,0.0755532040153876,0.0733033824389862,0.0808441727209526,0.0921680496546472,0.0876613047733433,0.0970530450485538,0.105672912106135,0.110683195732806,0.123808082263538,0.111291200020925,0.108522854014468,0.132919923536234,0.146137433896209,0.130212244522369,0.120494829563077,0.121843448602056
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Australia,AUS,0.449483461852859,0.42235319602782,0.413136795092585,0.412418357770919,0.405672266165863,0.392969756858128,0.391204739669683,0.381371337129892,0.377006244205627,0.373088186847313,0.299721466561179,0.29471346047497,0.285330736319382,0.278347548815478,0.268198498114273,0.257406049170447,0.240640374397103,0.231849955283847
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Austria,AUT,0.18512143228818,0.159140660373848,0.155305286146979,0.164055539518043,0.165823293370349,0.175035256101349,0.173800289767201,0.171576413023237,0.161718749099186,0.150201327944256,0.125850316787763,0.127272907705611,0.119016143141428,0.119307368837972,0.116327992298545,0.117345186604965,0.103122098896348,0.10002033159372
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Azerbaijan,AZE,0.737021447763072,0.678687236069196,0.642141005308593,0.562433136956736,0.509646653549845,0.500950413630719,0.454294313466099,0.375702732299426,0.285775960331033,0.2070144155534,0.177854268330031,0.176544077095894,0.176639376351222,0.183333709112272,0.183400512908829,0.183607256240337,0.184671593319423,0.198086600727822
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,"Bahamas, The",BHS,0.119055914922346,0.120499757725788,0.0889959063332214,0.0863010797816021,0.0920159120234309,0.069413486653045,0.0742914767552114,0.0707410044437595,0.0878500943552942,0.103862004985613,0.10105165137454,0.108427296192394,0.118647286474878,0.138158810999993,0.142634352503153,0.136726681351937,0.123939604480812,0.127324401924605
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Bahrain,BHR,0.55676209379156,0.493619874974275,0.48083077901697,0.485802214148578,0.491119909571449,0.478109639805403,0.447461286544727,0.491666156007188,0.502879104014354,0.471716533933868,0.43437900314507,0.417513865803271,0.409941750906673,0.437600289499859,0.465058321915348,0.450886022073331,0.414179951312469,0.414787266964812
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Bangladesh,BGD,0.0639044416827023,0.075372363032057,0.0738988038107583,0.0850734760309165,0.0862289942985329,0.0862650105561683,0.0863437608261214,0.0863324287905072,0.087161783675409,0.0865168732144239,0.102839125391303,0.103717136662072,0.100910070486747,0.0958342615612403,0.0878247125641899,0.0935275215861091,0.092863238438698,0.0882993511376102
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Barbados,BRB,0.140231464546448,0.153130563096663,0.119122308921596,0.117260723809374,0.124798945591016,0.128483403095476,0.125424455376288,0.123459307623049,0.125827493475094,0.118467347313107,0.147527535076155,0.129968518153188,0.142439821225013,0.159725210170239,0.151381530776164,0.171112417506756,0.145714839086479,0.146690408569015
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Belarus,BLR,0.838516577709818,0.551384909939218,0.504118684296378,0.470487605873234,0.449543889529243,0.424841945269585,0.404110881831948,0.374576650080667,0.354386440164019,0.318980183075028,0.251023388884633,0.249629131964274,0.255422521969795,0.243126635053135,0.23197561895331,0.228290748119434,0.232049481351476,0.212948911349405
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Belgium,BEL,0.278905393339796,0.246606452871235,0.241504612701629,0.240721341831471,0.222697512786096,0.229483705478181,0.219073660772969,0.209124270973123,0.19886472109913,0.186582279781905,0.154268197247872,0.149683631664376,0.147510511278657,0.143682777989854,0.139409624731561,0.136935687762933,0.122486165130692,0.11364780000479
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Belize,BLZ,0.0832212673527433,0.0803910223472009,0.0505903411519356,0.0489853708712626,0.0464438960432589,0.0446710256559478,0.0391232343455236,0.0421573922524434,0.0467463583378929,0.0436664560987454,0.0589630842930386,0.065607792968883,0.0564614582627803,0.0589594980658487,0.0558553953064417,0.0531988920476673,0.0516960687044572,0.0543897833607983
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Benin,BEN,0.034066586788356,0.083245877389989,0.0843504949945838,0.0962263048655295,0.106103914273148,0.114888051327931,0.117282724942713,0.126271366768319,0.167333318403993,0.179926744175322,0.206179033332984,0.197734424261648,0.21103494311172,0.192249040676581,0.197733252935559,0.138973212290688,0.13405921886129,0.122602552903643
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Bermuda,BMU,0.0554520183297839,0.0397092433602697,0.0251132388113909,0.0231567116318587,0.0261771242045511,0.0261549888932712,0.0258456532045079,0.0273313522302294,0.0322617027044235,0.0373503949792046,0.0530640578816745,0.0468904394726678,0.0515196717625882,0.0590008716224646,0.0557536992703351,0.0555027143162425,0.0523536984698263,0.0552568830651138
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Bhutan,BTN,0.0901365135017699,0.131881009880051,0.129025819202979,0.128334654053198,0.125902383157162,0.119063908717442,0.113436875550989,0.11435042323161,0.113672443763235,0.100458310607835,0.142467030036441,0.151855378201806,0.170514940672016,0.176434803015653,0.173783333345807,0.179207097482928,0.175462795049746,..
